pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,st_teff,st_mass,st_rad,pl_trandur,pl_ratdor
55 Cnc,Radial Velocity,5,4825.00000000,5.503000,0.019000,3.87800,,5196.00,0.91,0.94,,
55 Cnc,Radial Velocity,5,0.73653900,0.015440,,0.02542,0.170,5196.00,0.91,0.94,,
55 Cnc,Radial Velocity,5,262.00000000,0.788000,0.305000,0.14100,,5196.00,0.91,0.94,,
6 Lyn,Radial Velocity,1,934.30000000,2.110000,0.073000,2.01000,,4938.00,1.44,5.20,,
61 Vir,Radial Velocity,3,4.21500000,0.050201,0.120000,0.01600,,5577.00,0.94,0.96,,
61 Vir,Radial Velocity,3,38.02100000,0.217500,0.140000,0.05700,,5577.00,0.94,0.96,,
61 Vir,Radial Velocity,3,123.01000000,0.476000,0.350000,0.07200,,5577.00,0.94,0.96,,
7 CMa,Radial Velocity,2,735.10000000,1.758000,0.060000,1.85000,,4826.00,1.34,4.87,,
7 CMa,Radial Velocity,2,996.00000000,2.153000,0.080000,0.87000,,4826.00,1.34,4.87,,
70 Vir,Radial Velocity,1,116.68800000,0.481000,0.398800,7.41600,,5495.00,1.09,1.89,,
75 Cet,Radial Velocity,1,691.90000000,2.100000,0.117000,3.00000,,4846.00,2.49,10.50,,
8 UMi,Radial Velocity,1,93.40000000,0.490000,0.060000,1.31000,,4847.00,1.44,10.30,,
81 Cet,Radial Velocity,1,952.70000000,2.500000,0.206000,5.30000,,4785.00,2.40,11.00,,
91 Aqr,Radial Velocity,1,181.40000000,0.700000,0.027000,3.20000,,4665.00,1.40,11.00,,
AB Pic,Imaging,1,,260.000000,,13.50000,,,,,,
BD+03 2562,Radial Velocity,1,481.90000000,1.300000,0.200000,6.40000,,4095.00,1.14,32.35,,8.640000
BD+14 4559,Radial Velocity,1,268.94000000,0.780000,0.290000,1.04000,,4864.00,0.49,0.86,,
BD+15 2375,Radial Velocity,1,153.22000000,0.576000,0.001000,1.06100,,4649.00,1.08,8.95,,
BD+15 2940,Radial Velocity,1,137.48000000,0.539000,0.260000,1.11000,,4796.00,1.10,14.70,,
BD+20 2457,Radial Velocity,2,379.63000000,1.050000,0.150000,55.59000,,4259.00,10.83,71.02,,
BD+20 2457,Radial Velocity,2,621.99000000,2.010000,0.180000,12.47000,,4259.00,10.83,71.02,,
BD+20 274,Radial Velocity,1,578.20000000,1.300000,0.210000,4.20000,,4296.00,0.80,17.30,,
BD+20 594,Transit,1,41.68550000,,0.000000,0.07000,0.230,5766.00,1.67,1.08,,55.800000
BD+48 738,Radial Velocity,1,392.60000000,1.000000,0.200000,0.91000,,4414.00,0.74,11.00,,
BD+48 740,Radial Velocity,1,733.00000000,1.700000,0.760000,1.70000,,4534.00,1.09,10.33,,
BD+49 828,Radial Velocity,1,2590.00000000,4.200000,0.350000,1.60000,,4943.00,1.52,7.60,,
BD-06 1339,Radial Velocity,2,3.87280000,0.042800,0.000000,0.02700,,4324.00,0.70,,,
BD-06 1339,Radial Velocity,2,125.94000000,0.435000,0.310000,0.17000,,4324.00,0.70,,,
BD-08 2823,Radial Velocity,2,5.60000000,0.060000,0.150000,0.04000,,4816.00,0.50,0.71,,
BD-08 2823,Radial Velocity,2,237.60000000,0.680000,0.190000,0.33000,,4816.00,0.50,0.71,,
BD-10 3166,Radial Velocity,1,3.48777000,0.040000,0.020000,0.59000,,5393.00,1.47,0.91,,
BD-11 4672,Radial Velocity,1,1667.00000000,2.280000,0.050000,0.53000,,4475.00,0.57,0.52,,
BD-13 2130,Radial Velocity,1,714.29999000,1.660000,0.210000,9.78000,,4545.00,2.12,19.17,,
BD-17 63,Radial Velocity,1,655.60000000,1.340000,0.540000,5.10000,,4714.00,0.74,0.69,,
CFBDSIR J145829+101343,Imaging,1,10037.50000000,2.600000,,10.50000,,580.50,0.02,,,
CHXR 73,Imaging,1,,210.000000,,12.56900,,,0.35,,,
CI Tau,Radial Velocity,1,8.98910000,,0.250000,11.60000,,,0.90,,,
CT Cha,Imaging,1,,440.000000,,17.00000,2.200,,,,,
CoRoT-1,Transit,1,1.50895570,,0.000000,1.03000,1.490,5950.00,0.95,1.11,,4.920000
CoRoT-10,Transit,1,13.24060000,0.105500,0.530000,2.75000,0.970,5075.00,0.89,0.79,0.1242000,31.330000
CoRoT-11,Transit,1,2.99433000,0.043600,0.000000,2.33000,1.430,6440.00,1.27,1.37,0.1042000,6.890000
CoRoT-12,Transit,1,2.82804200,0.040160,0.070000,0.91700,1.440,5675.00,1.08,1.12,0.1072600,
CoRoT-13,Transit,1,4.03519000,0.051000,0.000000,1.30800,0.885,5945.00,1.09,1.01,0.1308000,10.810000
CoRoT-14,Transit,1,1.51214000,0.027000,0.000000,7.60000,1.090,6035.00,1.13,1.21,0.0693000,4.780000
CoRoT-16,Transit,1,5.35227000,0.061800,0.330000,0.53500,1.170,5650.00,1.10,1.19,0.0996000,11.200000
CoRoT-17,Transit,1,3.76810000,0.046100,0.000000,2.43000,1.020,5740.00,1.04,1.59,0.1966670,6.230000
CoRoT-18,Transit,1,1.90006930,0.029500,0.080000,3.47000,1.310,5440.00,0.95,1.00,0.0995000,6.350000
CoRoT-19,Transit,1,3.89713000,0.051800,0.047000,1.11000,1.290,6090.00,1.21,1.65,0.1958000,6.700000
CoRoT-2,Transit,1,1.74299350,0.027980,0.014300,3.47000,1.466,5625.00,0.96,0.91,0.0944600,
CoRoT-20,Transit,2,9.24285000,0.090000,0.590000,4.30000,,,1.14,,,
CoRoT-20,Radial Velocity,2,1675.00000000,2.900000,0.600000,17.00000,,,1.14,,,
CoRoT-21,Transit,1,2.72474000,0.041700,0.000000,2.26000,1.300,6200.00,1.29,1.95,0.1983333,4.600000
CoRoT-22,Transit,1,9.75598000,0.092000,0.077000,0.03800,0.435,5939.00,1.10,1.14,0.1872000,17.300000
CoRoT-23,Transit,1,3.63130000,0.048000,0.160000,2.80000,1.050,5900.00,1.14,1.61,0.1620000,6.850000
CoRoT-24,Transit,2,5.11340000,0.056000,0.000000,0.01800,0.330,4950.00,0.91,0.86,0.1188000,10.900000
CoRoT-24,Transit,2,11.75900000,0.098000,0.000000,0.08800,0.440,4950.00,0.91,0.86,0.2000000,18.000000
