pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,st_teff,st_mass,st_rad,pl_trandur,pl_ratdor
K2-115,Transit,1,20.27261500,0.143000,,,1.076,5657.00,0.95,0.88,,38.680000
K2-116,Transit,1,4.65541100,0.048000,0.060000,,0.062,4348.35,0.69,0.67,,15.370000
K2-117,Transit,2,1.29160000,0.018900,,,0.181,3778.00,0.54,0.51,,7.870000
K2-117,Transit,2,5.44401700,0.049200,,,0.184,3778.00,0.54,0.51,,18.520000
K2-118,Transit,1,50.92092000,0.245000,0.200000,,0.227,4726.29,0.76,0.73,,71.820000
K2-119,Transit,1,7.72728300,0.069800,,,0.226,4740.00,0.76,0.71,,19.230000
K2-12,Transit,1,8.28212000,0.080200,,,0.208,5800.00,1.01,1.01,,17.470000
K2-120,Transit,1,9.56274200,0.078000,0.140000,,0.179,4349.90,0.69,0.67,,24.050000
K2-121,Transit,1,5.18576100,0.052500,,,0.669,4551.00,0.72,0.68,,21.020000
K2-122,Transit,1,2.21928200,0.028500,,,0.108,4027.00,0.62,0.60,,12.180000
K2-123,Transit,1,30.95152400,0.164900,,,0.246,4035.00,0.62,0.59,,61.210000
K2-124,Transit,1,6.41365100,0.049000,,,0.259,3570.00,0.39,0.39,0.0700000,28.000000
K2-125,Transit,1,21.75026400,0.121000,0.080000,,0.194,3654.47,0.49,0.40,,63.310000
K2-126,Transit,1,7.38565500,0.065600,,,0.176,4339.00,0.69,0.65,,20.290000
K2-127,Transit,1,3.58816300,0.041100,,,0.747,4575.00,0.72,0.66,,11.460000
K2-128,Transit,1,5.67581900,0.056000,0.230000,,0.127,4469.51,0.71,0.78,,15.460000
K2-129,Transit,1,8.23949300,0.057000,0.130000,,0.093,3459.09,0.36,0.36,,34.370000
K2-13,Transit,1,39.91488000,0.211400,,,0.169,5698.00,0.80,0.78,,79.690000
K2-130,Transit,1,2.49412000,0.032000,0.170000,,0.112,4356.47,0.70,0.74,,9.260000
K2-131,Transit,1,0.36931000,0.009500,,,0.152,5245.00,0.84,0.75,,2.600000
K2-132,Transit,1,9.17510000,,,0.49000,1.300,4840.00,1.08,3.85,,
K2-133,Transit,4,3.07133000,0.031940,,,0.120,3655.00,0.46,0.46,,
K2-133,Transit,4,4.86784000,0.043410,,,0.143,3655.00,0.46,0.46,,
K2-133,Transit,4,11.02454000,0.074870,,,0.179,3655.00,0.46,0.46,,
K2-133,Transit,4,26.58410000,0.134600,,,0.154,3655.00,0.46,0.46,0.0600000,
K2-136,Transit,3,7.97529200,,0.100000,,0.088,4499.00,0.74,0.66,0.1058333,23.100000
K2-136,Transit,3,17.30713700,,0.130000,,0.260,4499.00,0.74,0.66,0.1437500,39.000000
K2-136,Transit,3,25.57506500,,0.140000,,0.129,4499.00,0.74,0.66,0.1300000,50.700000
K2-137,Transit,1,0.17971500,0.005800,0.000000,0.50000,0.079,3492.00,0.46,0.44,0.0262000,2.820000
K2-138,Transit,5,2.35322000,0.033800,0.403000,,0.140,5378.00,0.93,0.86,0.0720833,8.850000
K2-138,Transit,5,3.55987000,0.044540,0.296000,,0.225,5378.00,0.93,0.86,0.0970417,10.800000
K2-138,Transit,5,5.40478000,0.058830,0.348000,,0.237,5378.00,0.93,0.86,0.1237500,12.800000
K2-138,Transit,5,8.26144000,0.078070,0.315000,,0.294,5378.00,0.93,0.86,0.1276250,19.400000
K2-138,Transit,5,12.75759000,0.104300,0.364000,,0.251,5378.00,0.93,0.86,0.1329167,28.100000
K2-139,Transit,1,28.38061900,0.179600,,,0.813,5370.00,0.96,0.88,,47.250000
K2-14,Transit,1,8.36802000,0.062700,,,0.429,3789.00,0.47,0.45,,30.160000
K2-140,Transit,1,6.56918000,0.068700,,,1.093,5705.00,1.00,0.99,,15.100000
K2-141,Transit,2,0.28032440,,0.000000,0.01598,0.135,4599.00,0.71,0.68,,2.292000
K2-141,Transit,2,7.74850000,,0.000000,0.02328,0.624,4599.00,0.71,0.68,,21.590000
K2-146,Transit,2,2.64460000,,0.129000,0.01816,0.183,3385.00,0.33,0.33,,
K2-146,Transit,2,4.00498000,,0.075000,0.02358,0.195,3385.00,0.33,0.33,,
K2-147,Transit,1,0.96191700,0.015900,,,0.123,3672.00,0.58,0.55,,8.800000
K2-148,Transit,3,4.38395000,0.045400,,,0.119,4079.00,0.65,0.63,,16.700000
K2-148,Transit,3,6.92260000,0.061600,,,0.154,4079.00,0.65,0.63,,27.300000
K2-148,Transit,3,9.75790000,0.077400,,,0.146,4079.00,0.65,0.63,,36.300000
K2-149,Transit,1,11.33200000,0.083000,,,0.146,3745.00,0.59,0.57,,34.300000
K2-15,Transit,1,11.81040000,0.091000,,,0.221,5131.00,0.72,0.68,,28.840000
K2-150,Transit,1,10.59357000,0.072700,,,0.178,3499.00,0.46,0.44,,32.200000
K2-151,Transit,1,3.83547600,0.037300,,,0.133,3695.00,0.47,0.45,,17.360000
K2-152,Transit,1,32.64790000,0.171600,,,0.204,4044.00,0.63,0.61,,58.800000
K2-153,Transit,1,7.51574000,0.061400,,,0.178,3845.00,0.55,0.53,,23.600000
K2-154,Transit,2,3.67626000,0.040500,,,0.178,4097.00,0.65,0.63,,14.500000
K2-154,Transit,2,7.95486000,0.067700,,,0.185,4097.00,0.65,0.63,,24.900000
K2-155,Transit,3,6.34200000,0.056200,,,0.161,4258.00,0.65,0.58,0.1004000,18.500000
K2-155,Transit,3,13.85000000,0.094600,,,0.232,4258.00,0.65,0.58,0.1470000,27.000000
K2-155,Transit,3,40.71800000,0.193700,,,0.170,4258.00,0.65,0.58,0.1860000,63.300000
K2-156,Transit,1,0.81314000,0.014900,,,0.103,4597.00,0.66,0.66,,4.100000
K2-157,Transit,1,0.36525700,,,,0.094,5456.00,0.94,0.88,,1.876041
K2-158,Transit,2,10.06049000,0.088700,,,0.236,5503.00,0.92,0.95,,19.100000
K2-158,Transit,2,5.90279000,0.062200,,,0.114,5503.00,0.92,0.95,,11.300000
K2-159,Transit,1,12.42205000,0.101300,,,0.202,5425.00,0.90,0.83,,27.900000
K2-16,Transit,3,7.61880000,0.066700,,,0.180,,0.67,,0.1036250,19.000000
K2-16,Transit,3,19.07863000,0.122900,,,0.227,,0.67,,0.1607917,22.800000
K2-160,Transit,1,3.70587100,,,,0.284,5649.00,0.98,0.91,,14.684713
K2-161,Transit,1,9.28318800,,,,0.546,4972.00,0.99,2.57,,10.790043
K2-162,Transit,1,9.45889000,0.079500,,,0.128,4842.00,0.75,0.69,,23.600000
K2-163,Transit,1,6.67311700,,,,0.220,4937.00,0.83,0.76,,15.663288
K2-164,Transit,1,17.35506600,,,,0.290,5791.00,1.18,2.20,,13.912102
K2-165,Transit,3,2.35499200,,,,0.114,5185.00,0.83,0.80,,9.208522
K2-165,Transit,3,4.38274500,,,,0.139,5185.00,0.83,0.80,,10.510761
K2-165,Transit,3,14.10136100,,,,0.236,5185.00,0.83,0.80,,27.729097
K2-166,Transit,2,8.52695000,0.085800,,,0.195,,1.07,,,11.100000
K2-167,Transit,1,9.97748100,,,,0.252,5908.00,1.02,1.83,,19.425698
K2-168,Transit,2,15.85230000,,,,0.166,5502.70,0.88,0.83,,25.420000
K2-169,Transit,1,6.38080300,,,,0.114,5548.00,0.99,0.92,,13.592261
K2-17,Transit,1,17.96753000,0.119000,,,0.199,4320.00,0.71,0.66,,39.380000
K2-170,Transit,2,7.57654400,,,,0.127,5748.00,0.96,0.98,,14.299758
K2-170,Transit,2,12.40004700,,,,0.161,5748.00,0.96,0.98,,20.900713
K2-171,Transit,1,5.62846600,,,,0.240,5250.00,0.89,1.72,,5.470213
K2-172,Transit,2,14.31694100,,,,0.149,5569.00,0.93,0.87,,25.147602
K2-172,Transit,2,29.62682000,,,,0.286,5569.00,0.93,0.87,,44.208935
K2-173,Transit,1,5.86869900,,,,0.143,5580.00,0.88,0.84,,12.982789
K2-174,Transit,1,19.56230700,0.126000,,,0.232,4455.00,0.70,0.68,0.2420000,26.600000
K2-175,Transit,1,9.52598800,,,,0.182,5909.00,1.09,1.42,,11.060886
K2-176,Transit,1,5.32943900,,,,0.133,5428.00,0.94,0.86,,13.810807
K2-177,Transit,1,14.15518500,,,,0.189,6063.00,1.21,1.21,,10.638946
K2-178,Transit,1,8.74781800,,,,0.317,5525.00,0.95,0.89,,18.513049
K2-179,Transit,1,5.17219100,,,,0.224,5015.00,0.82,0.77,,20.135239
K2-18,Transit,2,32.93962300,0.142900,0.200000,0.02807,0.211,3457.00,0.36,0.41,,
K2-18,Radial Velocity,2,8.96200000,0.060000,0.470000,0.02363,,3457.00,0.36,0.41,,
K2-180,Transit,1,8.86720900,0.075300,,,0.206,5358.00,0.72,0.72,,24.120000
K2-181,Transit,1,6.89425600,0.070600,,,0.253,5608.00,0.99,1.07,,18.790000
K2-182,Transit,1,4.73683700,0.052900,,,0.246,5165.00,0.88,0.80,,13.890000
K2-183,Transit,3,0.46926900,,,,0.232,5519.00,0.93,0.97,,1.396227
K2-183,Transit,3,10.79263500,0.093200,,,0.256,5519.00,0.93,0.97,,19.600000
K2-183,Transit,3,22.63196400,0.152700,,,0.255,5519.00,0.93,0.97,,44.410000
K2-184,Transit,1,16.99573100,0.122900,,,0.138,5220.00,0.86,0.78,,47.370000
K2-185,Transit,1,10.61664600,,,,0.117,5722.00,0.98,0.91,,26.705693
K2-186,Transit,1,41.47421900,,,,0.283,5784.00,1.02,0.98,,48.939252
K2-187,Transit,4,0.77392000,0.016400,,,0.116,5484.00,0.98,0.92,,4.130000
K2-187,Transit,4,2.87204200,0.039200,,,0.161,5484.00,0.98,0.92,,8.080000
K2-187,Transit,4,7.14921000,0.072000,,,0.283,5484.00,0.98,0.92,,18.160000
K2-187,Transit,4,13.60987800,0.110600,,,0.212,5484.00,0.98,0.92,,23.940000
K2-188,Transit,2,1.74216900,0.028900,,,0.120,5977.00,1.06,1.19,,4.670000
K2-188,Transit,2,7.81025300,0.078500,,,0.252,5977.00,1.06,1.19,,15.560000
K2-189,Transit,2,2.58830900,0.036100,,,0.136,5519.00,0.94,0.87,,7.950000
K2-189,Transit,2,6.67919500,0.068000,,,0.223,5519.00,0.94,0.87,,18.170000
K2-19,Transit,3,7.91940000,0.074000,,,0.691,5430.00,0.93,0.86,0.1459167,18.500000
K2-19,Transit,3,11.90715000,0.097100,,,0.434,5430.00,0.93,0.86,0.1821250,18.100000
K2-19,Transit,3,2.50856000,0.034400,,,0.102,5430.00,0.93,0.86,0.0904167,7.831000
K2-190,Transit,2,10.09885800,,,,0.121,5631.00,0.90,0.91,,17.225461
K2-190,Transit,2,21.57402300,,,,0.098,5631.00,0.90,0.91,,27.966545
K2-191,Transit,1,2.85864600,,,,0.141,5176.00,0.90,0.84,,8.602679
K2-192,Transit,1,4.16281700,0.049000,,,0.136,5222.00,0.90,0.81,,17.640000
K2-193,Transit,1,14.78688900,0.118400,,,0.352,5817.00,1.01,0.98,,26.080000
K2-194,Transit,1,39.72138600,,,,0.325,5979.00,1.11,1.28,,30.988860
K2-195,Transit,2,15.85297500,0.120800,,,0.279,5713.00,0.94,0.99,,24.330000
K2-195,Transit,2,28.48278600,,,,0.230,5713.00,0.94,0.99,,27.673288
K2-196,Transit,1,48.32422200,,,,0.321,6045.00,1.16,1.54,,23.462939
K2-197,Transit,1,8.35788100,0.080600,,,0.228,5667.00,1.00,0.93,,16.290000
K2-198,Transit,3,17.04286830,,,,0.374,5212.90,0.80,0.76,,25.860000
K2-198,Transit,3,3.35960550,,,,0.127,5212.90,0.80,0.76,,8.760000
K2-198,Transit,3,7.45001770,,,,0.218,5212.90,0.80,0.76,,14.900000
K2-199,Transit,2,3.22533800,0.038500,,,0.167,4648.00,0.73,0.68,,10.830000
K2-199,Transit,2,7.37469400,0.066800,,,0.248,4648.00,0.73,0.68,,22.200000
K2-200,Transit,1,2.84988300,,,,0.122,5233.00,0.86,0.79,,13.198523
K2-201,Transit,2,1.05979000,,,,0.125,5507.00,0.96,0.88,,4.652897
K2-201,Transit,2,22.77987800,,,,0.293,5507.00,0.96,0.88,,40.683505
K2-202,Transit,1,3.40516400,,,,0.205,5491.00,0.97,0.91,,11.942004
K2-203,Transit,1,9.69510100,,,,0.122,5000.00,0.79,0.76,,19.031555
K2-204,Transit,1,7.05578400,,,,0.272,5755.00,1.01,1.18,,11.042580
K2-205,Transit,1,26.67226300,,,,0.178,5890.00,0.95,1.08,,31.035514
K2-206,Transit,1,18.29454900,,,,0.249,5043.00,0.79,0.76,,28.284030
K2-207,Transit,1,12.48749000,,,,0.232,5522.00,0.94,0.93,,21.180496
K2-208,Transit,1,4.19094800,,,,0.150,5582.00,0.93,0.86,,14.156898
K2-209,Transit,1,2.08061500,,,,0.077,4720.00,0.74,0.71,,8.501853
K2-21,Transit,2,9.32503800,0.076000,0.100000,,0.164,4222.06,0.68,0.65,,25.370000
K2-21,Transit,2,15.50192000,0.107000,0.210000,,0.222,4222.06,0.68,0.65,,35.500000
K2-210,Transit,1,0.57023300,,,,0.073,5396.00,0.91,0.85,,4.320710
K2-211,Transit,1,0.66955800,,,,0.123,5221.00,0.88,0.82,,3.414080
K2-212,Transit,1,9.79551000,0.078500,,,0.225,4272.00,0.67,0.65,,28.260000
K2-213,Transit,1,8.13087000,,,,0.135,5794.00,1.07,1.20,,13.249090
K2-214,Transit,1,8.59680200,0.083400,,,0.217,5854.00,1.05,1.27,,16.180000
K2-215,Transit,1,8.26964800,,,,0.189,5704.00,1.00,0.97,,28.084531
K2-216,Transit,1,2.17480000,0.028000,0.000000,0.02517,0.156,4503.00,0.70,0.72,0.0766667,8.300000
K2-217,Transit,1,14.07452400,,,,0.319,5967.00,1.10,1.33,,16.108984
K2-218,Transit,1,8.67988500,,,,0.229,5757.00,1.05,1.01,,16.021068
K2-219,Transit,3,3.90128700,,,,0.120,5753.00,1.02,1.19,,9.031985
K2-219,Transit,3,6.66767000,,,,0.128,5753.00,1.02,1.19,,10.347938
K2-219,Transit,3,11.13727800,,,,0.230,5753.00,1.02,1.19,,15.766969
K2-22,Transit,1,0.38107800,0.008800,,1.40000,0.223,3830.00,0.60,0.57,0.0333333,3.300000
K2-220,Transit,1,13.68325600,0.110400,,,0.213,5660.00,0.96,1.02,,31.180000
K2-221,Transit,1,2.39909400,,,,0.150,5716.00,1.01,0.95,,6.506267
K2-222,Transit,1,15.38706300,0.121100,,,0.213,6058.00,1.00,1.09,,25.070000
K2-223,Transit,2,0.50565000,0.012700,,,0.079,5835.00,1.06,0.99,,3.900000
K2-223,Transit,2,4.56327000,0.054900,,,0.140,5835.00,1.06,0.99,,11.000000
K2-224,Transit,2,4.47904000,0.051600,,,0.139,5620.00,0.91,0.84,,13.200000
K2-224,Transit,2,10.09489000,0.088600,,,0.215,5620.00,0.91,0.84,,20.300000
K2-225,Transit,1,15.87209000,0.134000,,,0.311,5742.00,1.27,1.70,,17.800000
K2-226,Transit,1,3.27108000,0.041300,,,0.137,5424.00,0.88,0.91,,9.700000
K2-227,Transit,1,13.62183200,,,,0.149,5673.00,0.95,0.89,,21.261583
K2-228,Transit,1,2.69828000,0.033800,,,0.108,4715.00,0.71,0.65,,12.200000
K2-229,Transit,2,0.58426000,0.013100,,,0.102,5315.00,0.87,0.79,,3.400000
K2-229,Transit,2,8.32727000,0.076900,,,0.181,5315.00,0.87,0.79,,24.900000
K2-230,Transit,1,2.86041000,0.040900,,,0.175,5945.00,1.11,1.39,,7.300000
K2-231,Transit,1,13.84190100,,,,0.223,5695.00,1.01,0.95,0.1225000,27.000000
K2-232,Transit,1,11.16845400,0.103560,0.258000,0.39800,1.000,6154.00,1.19,1.16,,19.250000
K2-233,Transit,3,2.46746000,0.033170,0.000000,,0.125,4950.00,0.80,0.74,0.0820417,9.490000
K2-233,Transit,3,7.06142000,0.066870,0.000000,,0.119,4950.00,0.80,0.74,0.1104167,19.340000
K2-233,Transit,3,24.36620000,0.152700,0.000000,,0.236,4950.00,0.80,0.74,0.1586667,44.200000
K2-237,Transit,1,2.18055770,0.035300,0.000000,1.23600,1.642,6099.00,1.23,1.38,0.1251000,5.503000
K2-238,Transit,1,3.20466000,0.046000,0.000000,0.86000,1.300,5630.00,1.19,1.59,,6.270000
K2-239,Transit,3,5.24000000,0.044100,,,0.098,3420.00,0.40,0.36,0.0611000,24.600000
K2-239,Transit,3,7.77500000,0.057600,,,0.089,3420.00,0.40,0.36,0.0520000,34.000000
K2-239,Transit,3,10.11500000,0.068500,,,0.098,3420.00,0.40,0.36,0.0766000,38.800000
K2-24,Transit,2,20.88977000,,0.060000,0.05978,0.482,5625.00,1.07,1.16,,
K2-24,Transit,2,42.33910000,,0.070000,0.04845,0.669,5625.00,1.07,1.16,,
K2-240,Transit,2,6.03400000,0.051300,,,0.178,3810.00,0.58,0.54,0.0897000,21.100000
K2-240,Transit,2,20.52300000,0.115900,,,0.161,3810.00,0.58,0.54,0.1330000,48.000000
K2-241,Transit,1,26.81990000,0.156700,,,0.227,5262.00,0.71,0.75,,43.300000
K2-242,Transit,1,6.51389000,0.049400,,,0.227,3459.00,0.38,0.37,,22.100000
K2-243,Transit,2,11.54182000,0.108700,,,0.194,6570.00,1.29,1.39,,21.200000
K2-243,Transit,2,24.94598000,0.181700,,,0.179,6570.00,1.29,1.39,,35.600000
K2-244,Transit,1,21.06884000,0.141800,,,0.156,5677.00,0.86,0.92,,38.300000
K2-245,Transit,1,11.89307000,0.095900,,,0.387,5793.00,0.83,1.25,,17.500000
K2-246,Transit,1,5.76918000,0.060200,,,0.311,5610.00,0.87,0.94,,11.100000
K2-247,Transit,2,2.25021000,0.030400,,,0.189,4667.00,0.74,0.69,,8.700000
K2-247,Transit,2,6.49424000,0.061500,,,0.195,4667.00,0.74,0.69,,18.200000
K2-248,Transit,1,7.17256000,0.069900,,,0.229,5528.00,0.88,0.92,,16.200000
K2-249,Transit,1,12.40900000,0.115100,,,0.249,6504.00,1.32,1.57,,14.500000
K2-25,Transit,1,3.48455200,,0.270000,,0.306,3180.00,0.29,0.29,0.0329167,
K2-250,Transit,1,4.01457000,0.045900,,,0.218,5172.00,0.80,0.81,,12.300000
K2-251,Transit,1,9.30075000,0.069400,,,0.210,3717.00,0.52,0.49,,20.600000
K2-252,Transit,1,13.81513000,0.104100,,,0.155,5152.00,0.79,0.82,,25.700000
K2-253,Transit,1,4.00167000,0.050600,,,1.130,6027.00,1.08,1.10,,13.900000
K2-254,Transit,2,4.09639000,0.044800,,,0.145,4629.00,0.71,0.67,,15.800000
K2-254,Transit,2,12.11839000,0.092300,,,0.195,4629.00,0.71,0.67,,31.300000
K2-255,Transit,1,1.96417000,0.027400,,,0.259,4676.00,0.71,0.69,,9.100000
K2-256,Transit,1,5.52011000,0.057800,,,0.235,5219.00,0.84,0.78,,7.600000
K2-257,Transit,1,1.60588000,0.021600,,,0.074,3725.00,0.52,0.50,,8.200000
K2-258,Transit,1,19.09210000,0.149000,,,0.268,6351.00,1.21,1.31,,21.500000
K2-259,Transit,1,15.48043000,0.127100,,,0.207,6059.00,1.14,1.13,,29.900000
K2-26,Transit,1,14.56650000,0.096200,,,0.238,3785.00,0.56,0.52,0.1970833,20.700000
K2-260,Transit,1,2.62666570,0.040400,0.000000,1.42000,1.552,6367.00,1.39,1.69,0.1736500,5.291000
K2-261,Transit,1,11.63344000,0.102000,0.390000,0.22300,0.850,5537.00,1.10,1.65,0.2130000,13.300000
K2-263,Transit,1,50.81894700,0.257300,0.140000,0.04657,0.215,5368.00,0.88,0.85,0.1453000,64.700000
K2-264,Transit,2,5.84000200,0.050230,,,0.199,3660.00,0.50,0.47,0.0785000,22.840000
K2-264,Transit,2,19.66030200,0.112830,,,0.238,3660.00,0.50,0.47,0.1090833,51.300000
K2-265,Transit,1,2.36917200,0.033760,0.084000,0.02058,0.153,5477.00,0.92,0.98,0.0944167,
K2-266,Transit,4,0.65852400,0.013060,,0.03545,0.294,4285.00,0.69,0.70,0.0138900,4.000000
K2-266,Transit,4,7.81400000,0.067900,0.042000,0.00091,0.063,4285.00,0.69,0.70,0.0940000,20.800000
K2-266,Transit,4,14.69700000,0.103500,0.047000,0.02800,0.261,4285.00,0.69,0.70,0.1420000,31.700000
K2-266,Transit,4,19.48200000,0.124900,0.043000,0.04499,0.244,4285.00,0.69,0.70,0.1527000,38.200000
K2-268,Transit,2,2.15189400,0.030800,,,0.126,5068.00,0.84,0.78,,7.960000
K2-268,Transit,2,9.32684100,0.081900,,,0.240,5068.00,0.84,0.78,,23.410000
K2-269,Transit,1,4.14496500,0.053100,,,0.140,6209.00,1.16,1.45,,10.070000
K2-27,Transit,1,6.77131500,0.067020,0.251000,0.09722,0.400,5248.00,0.87,0.89,,
K2-270,Transit,2,1.54306900,0.024700,,,0.123,4877.00,0.85,0.77,,6.040000
K2-270,Transit,2,4.40002800,0.049700,,,0.263,4877.00,0.85,0.77,,20.940000
K2-271,Transit,1,8.56242100,0.077000,,,0.649,5644.00,0.83,0.99,,20.690000
K2-272,Transit,1,14.45353300,0.108100,,,0.260,5419.00,0.81,0.81,,30.540000
K2-273,Transit,1,11.71633200,0.097400,,,0.394,5200.00,0.90,0.84,,6.480000
K2-274,Transit,1,14.12971400,0.106400,,,0.196,5065.00,0.81,0.74,,31.540000
K2-275,Transit,2,3.28096100,0.040000,,,0.200,4812.00,0.79,0.73,,12.280000
K2-275,Transit,2,8.43875600,0.075000,,,0.209,4812.00,0.79,0.73,,26.780000
K2-276,Transit,1,18.71826900,0.129100,,,0.336,5139.00,0.82,0.85,,21.070000
K2-277,Transit,1,6.32676300,0.067500,,,0.185,5741.00,1.02,0.97,,24.450000
K2-278,Transit,1,3.33496600,0.048800,,,0.266,6747.00,1.40,1.61,,6.240000
K2-279,Transit,1,7.12260500,0.067000,,,0.108,5558.00,0.79,0.86,,14.450000
K2-28,Transit,1,2.26045500,0.021400,0.000000,,0.207,3214.00,0.26,0.29,,17.900000
K2-280,Transit,1,19.89520200,0.148800,,,0.684,5742.00,1.11,1.28,,17.560000
K2-281,Transit,1,8.68772100,0.077300,,,0.730,4812.00,0.82,0.76,,25.900000
K2-282,Transit,2,4.16983600,0.049900,,,0.252,,0.94,,,10.990000
K2-283,Transit,1,1.92103600,0.029100,,,0.314,5060.00,0.89,0.82,,8.230000
K2-284,Transit,1,4.79506900,0.047710,0.078000,,0.248,4140.00,0.63,0.61,0.0894583,16.840000
K2-285,Transit,4,3.47174500,0.038170,0.000000,0.03046,0.231,4975.00,0.83,0.79,0.0908333,10.430000
K2-285,Transit,4,7.13804800,0.082400,0.000000,0.04933,0.315,4975.00,0.83,0.79,0.1050000,22.510000
K2-285,Transit,4,10.45582000,0.117800,0.000000,0.02045,0.221,4975.00,0.83,0.79,0.1043333,32.200000
K2-285,Transit,4,14.76289000,0.180410,0.000000,0.03367,0.174,4975.00,0.83,0.79,0.0958333,49.430000
K2-286,Transit,1,27.35900000,0.176800,,,0.187,3926.00,0.64,0.62,0.1250000,63.000000
K2-287,Transit,1,14.89329100,0.120600,0.478000,0.31500,0.847,5695.00,1.06,1.07,,23.870000
K2-288 B,Transit,1,31.39346300,0.164000,,,0.170,3341.00,0.33,0.32,0.0880000,110.200000
K2-289,Transit,1,13.15696900,0.107000,,,0.812,5529.00,0.95,1.02,0.1680000,22.500000
K2-29,Transit,1,3.25883210,0.042170,0.066000,0.73000,1.190,5358.00,0.94,0.86,0.0925000,10.510000
K2-290,Transit,2,9.21165000,0.092300,0.000000,0.03430,0.273,6302.00,1.19,1.51,0.2066667,13.150000
K2-290,Transit,2,48.36685000,0.305000,0.000000,0.77400,1.006,6302.00,1.19,1.51,0.3391667,43.500000
K2-291,Transit,1,2.22517700,0.032610,0.000000,0.02042,0.142,5520.00,0.93,0.90,0.0716250,7.794200
K2-293,Transit,1,13.12250000,,,,0.219,5532.00,0.96,0.95,0.1658333,22.900000
K2-294,Transit,1,2.50387000,,,,0.148,5612.00,0.99,1.20,0.1083333,6.490000
K2-295,Transit,1,4.02486700,0.045100,0.000000,0.33500,0.897,4444.00,0.74,0.70,0.1041000,13.760000
K2-3,Transit,3,10.05449000,0.076900,,,0.194,3896.00,0.60,0.56,0.1135833,25.600000
K2-3,Transit,3,24.64354000,0.139900,,,0.165,3896.00,0.60,0.56,0.1513750,42.200000
K2-3,Transit,3,44.55983000,0.207600,,,0.135,3896.00,0.60,0.56,0.1802083,62.100000
K2-30,Transit,1,4.09850300,0.048390,0.000000,0.57900,1.039,5425.00,0.90,0.84,0.0967000,12.340000
K2-308,Transit,1,3.38628000,,,,0.884,6100.00,1.09,1.24,0.1287500,7.940000
K2-31,Transit,1,1.25785000,0.022000,0.000000,1.77400,1.060,5280.00,0.91,0.78,0.0409000,6.050000
K2-32,Transit,4,8.99182800,0.080350,,,0.443,,0.86,0.84,,
K2-32,Transit,4,20.66186000,0.139900,,,0.244,,0.86,0.84,,
K2-32,Transit,4,31.71420000,0.186200,,,0.292,,0.86,0.84,,
K2-32,Transit,4,4.34882000,0.049510,,,0.090,,0.86,0.84,,
K2-33,Transit,1,5.42486500,,0.000000,3.70000,0.450,3540.00,0.56,1.05,0.1700000,10.400000
K2-34,Transit,1,2.99563300,0.042600,,,1.245,6071.00,1.15,1.44,,6.840000
K2-35,Transit,2,5.60835200,0.055000,0.120000,,0.172,4402.71,0.70,0.62,,19.100000
K2-35,Transit,2,2.39996400,0.031000,0.130000,,0.118,4402.71,0.70,0.62,,10.530000
K2-36,Transit,2,1.42261400,0.022300,0.000000,0.01227,0.128,4916.00,0.79,0.72,0.0515700,6.630000
K2-36,Transit,2,5.34088800,0.054000,0.000000,0.02454,0.285,4916.00,0.79,0.72,0.0564000,16.010000
K2-37,Transit,3,4.44117000,0.051100,,,0.144,5413.00,0.90,0.85,0.1127500,11.400000
K2-37,Transit,3,6.42904000,0.065400,,,0.245,5413.00,0.90,0.85,0.1302917,13.500000
K2-37,Transit,3,14.09189000,0.110300,,,0.244,5413.00,0.90,0.85,0.1236250,26.200000
K2-38,Transit,2,4.01593000,,,0.06000,0.170,5757.00,2.24,1.38,,10.100000
K2-38,Transit,2,10.56103000,0.096400,,0.03115,0.216,5757.00,2.24,1.38,0.1055417,26.200000
K2-39,Transit,1,4.60543000,,0.000000,0.09000,0.560,4881.00,0.66,2.97,,3.410000
K2-4,Transit,1,10.00341700,0.078000,0.080000,,0.187,4014.73,0.64,0.57,,27.680000
K2-42,Transit,1,6.68796000,0.061700,,,0.192,4613.00,0.70,0.64,0.1266667,
K2-43,Transit,2,3.47114900,,,,0.402,3840.60,0.57,0.54,,8.000000
K2-43,Transit,2,2.19888400,,,,0.216,3840.60,0.57,0.54,,5.900000
K2-44,Transit,1,5.65688000,0.065100,,,0.243,5912.00,1.15,1.58,0.1816667,
K2-45,Transit,1,1.72926840,0.022400,,,0.599,4103.00,0.50,0.45,0.0703750,
K2-46,Transit,1,19.15410000,0.138210,,,0.183,6256.00,0.96,1.29,0.2804167,
K2-47,Transit,1,31.63720000,0.177900,,,0.169,5054.00,0.75,0.76,0.1666667,
K2-48,Transit,1,20.50650000,0.134400,,,0.200,4899.00,0.77,0.73,0.1254167,
K2-49,Transit,1,2.77065000,0.030900,,,0.172,4175.00,0.51,0.45,0.0961250,
K2-5,Transit,2,5.73594000,0.053200,,,0.170,3930.00,0.61,0.57,0.1105833,14.000000
K2-5,Transit,2,10.93241000,0.081800,,,0.202,3930.00,0.61,0.57,0.1457500,15.600000
K2-50,Transit,2,8.75290000,0.070500,,,0.142,,0.61,,0.1116667,
K2-52,Transit,1,3.53505500,0.054000,,,1.606,7147.00,1.69,2.19,0.2220000,5.200000
K2-53,Transit,1,12.20772000,0.098000,,,0.232,5263.00,0.85,0.81,0.1450000,26.300000
