pl_name,hostname,sy_snum,sy_pnum,discoverymethod,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens
Kepler-23 b,Kepler-23,1,3,Transit,,1.55,1.08,,,,,,
Kepler-23 b,Kepler-23,1,3,Transit,5880.00,1.57,1.10,0.030,[Fe/H],,4.09,6.610,
Kepler-23 b,Kepler-23,1,3,Transit,6142.00,1.87,1.19,,,,3.97,4.900,
Kepler-23 b,Kepler-23,1,3,Transit,5828.00,1.55,1.08,-0.050,[Fe/H],,4.09,,
Kepler-23 b,Kepler-23,1,3,Transit,5761.00,1.52,1.04,0.060,[Fe/H],,4.09,,
Kepler-23 c,Kepler-23,1,3,Transit,5861.98,1.53,1.06,-0.112,[M/H],2.499,4.09,,0.2944
Kepler-23 c,Kepler-23,1,3,Transit,,1.55,1.08,,,,,,
Kepler-23 c,Kepler-23,1,3,Transit,5861.98,1.53,1.06,-0.112,[M/H],2.499,4.09,,0.2944
Kepler-23 c,Kepler-23,1,3,Transit,5760.00,1.52,1.11,-0.090,[M/H],0.362,4.00,6.000,
Kepler-23 c,Kepler-23,1,3,Transit,5880.00,1.57,1.10,0.030,[Fe/H],,4.09,6.610,
Kepler-23 c,Kepler-23,1,3,Transit,6142.00,1.87,1.19,,,,3.97,4.900,
Kepler-23 c,Kepler-23,1,3,Transit,5828.00,1.55,1.08,-0.050,[Fe/H],,4.09,,
Kepler-23 c,Kepler-23,1,3,Transit,5828.00,1.55,1.08,-0.050,[Fe/H],,4.09,,
Kepler-23 c,Kepler-23,1,3,Transit,5828.00,1.55,1.08,-0.050,[Fe/H],,4.09,,
Kepler-23 c,Kepler-23,1,3,Transit,5761.00,1.52,1.04,0.060,[Fe/H],,4.09,,
Kepler-23 c,Kepler-23,1,3,Transit,5823.00,1.52,,,,,,,
Kepler-23 d,Kepler-23,1,3,Transit,5828.00,1.55,1.08,-0.050,[Fe/H],,4.09,,
Kepler-23 d,Kepler-23,1,3,Transit,5828.00,1.55,1.08,-0.050,[Fe/H],,4.09,,
Kepler-23 d,Kepler-23,1,3,Transit,5828.00,1.55,1.08,-0.050,[Fe/H],,4.09,,
Kepler-23 d,Kepler-23,1,3,Transit,6142.00,1.87,1.19,,,,3.97,4.900,
Kepler-23 d,Kepler-23,1,3,Transit,5761.00,1.52,1.04,0.060,[Fe/H],,4.09,,
Kepler-23 d,Kepler-23,1,3,Transit,5828.00,1.55,,,,,4.09,,
Kepler-23 d,Kepler-23,1,3,Transit,5861.98,1.53,1.06,-0.112,[M/H],2.499,4.09,,0.2944
Kepler-23 d,Kepler-23,1,3,Transit,5861.98,1.53,1.06,-0.112,[M/H],2.499,4.09,,0.2944
Kepler-23 d,Kepler-23,1,3,Transit,5861.98,1.53,1.06,-0.112,[M/H],2.499,4.09,,0.2944
Kepler-23 d,Kepler-23,1,3,Transit,,1.55,1.08,,,,,,
Kepler-23 d,Kepler-23,1,3,Transit,5823.00,1.52,,,,,,,
Kepler-23 d,Kepler-23,1,3,Transit,5880.00,1.57,1.10,0.030,[Fe/H],,4.09,6.610,
Kepler-230 b,Kepler-230,1,2,Transit,5608.00,0.83,0.92,,,,4.56,1.800,
Kepler-230 b,Kepler-230,1,2,Transit,5253.00,0.79,,,,,,,
Kepler-230 b,Kepler-230,1,2,Transit,5333.00,0.77,0.92,,,0.429,4.63,,2.0390
Kepler-230 b,Kepler-230,1,2,Transit,5586.00,0.80,0.84,-0.300,[Fe/H],,4.56,,
Kepler-230 b,Kepler-230,1,2,Transit,5588.00,0.80,0.85,-0.300,[Fe/H],,4.56,,
Kepler-230 b,Kepler-230,1,2,Transit,5588.00,0.80,0.85,-0.300,[Fe/H],,4.56,,
Kepler-230 b,Kepler-230,1,2,Transit,5588.00,0.80,0.85,-0.300,[Fe/H],,4.56,,
Kepler-230 b,Kepler-230,1,2,Transit,5328.00,0.81,0.84,-0.140,[Fe/H],,4.56,4.370,
Kepler-230 b,Kepler-230,1,2,Transit,5588.00,0.82,,,,,4.55,,
Kepler-230 c,Kepler-230,1,2,Transit,5608.00,0.83,0.92,,,,4.56,1.800,
Kepler-230 c,Kepler-230,1,2,Transit,5333.00,0.77,0.92,,,0.429,4.63,,2.0390
Kepler-230 c,Kepler-230,1,2,Transit,5328.00,0.81,0.84,-0.140,[Fe/H],,4.56,4.370,
Kepler-230 c,Kepler-230,1,2,Transit,5333.00,0.77,0.92,,,0.429,4.63,,2.0390
Kepler-230 c,Kepler-230,1,2,Transit,5588.00,0.80,0.85,-0.300,[Fe/H],,4.56,,
Kepler-230 c,Kepler-230,1,2,Transit,5588.00,0.82,,,,,4.55,,
Kepler-230 c,Kepler-230,1,2,Transit,5586.00,0.80,0.84,-0.300,[Fe/H],,4.56,,
Kepler-230 c,Kepler-230,1,2,Transit,5588.00,0.80,0.85,-0.300,[Fe/H],,4.56,,
Kepler-230 c,Kepler-230,1,2,Transit,5588.00,0.80,0.85,-0.300,[Fe/H],,4.56,,
Kepler-230 c,Kepler-230,1,2,Transit,5253.00,0.79,,,,,,,
Kepler-231 b,Kepler-231,1,2,Transit,4078.00,0.61,0.65,,,-1.040,,,
Kepler-231 b,Kepler-231,1,2,Transit,4078.00,0.59,,,,,,,
Kepler-231 b,Kepler-231,1,2,Transit,4079.00,0.59,0.64,,,0.087,4.70,,3.0951
Kepler-231 b,Kepler-231,1,2,Transit,4079.00,0.59,0.64,,,0.087,4.70,,3.0951
Kepler-231 b,Kepler-231,1,2,Transit,4147.00,0.57,0.59,-0.260,[Fe/H],,4.70,3.470,
Kepler-231 b,Kepler-231,1,2,Transit,4237.00,0.55,0.58,,,,4.72,13.800,
Kepler-231 b,Kepler-231,1,2,Transit,3767.00,0.49,,,,,4.78,,
Kepler-231 b,Kepler-231,1,2,Transit,3767.00,0.48,0.51,-0.100,[Fe/H],,4.78,,
Kepler-231 b,Kepler-231,1,2,Transit,3767.00,0.48,0.51,-0.100,[Fe/H],,4.78,,
Kepler-231 b,Kepler-231,1,2,Transit,4079.00,0.59,0.64,,,0.087,4.70,,3.0951
Kepler-231 b,Kepler-231,1,2,Transit,,0.61,0.65,,,,,,
Kepler-231 b,Kepler-231,1,2,Transit,4077.00,0.56,0.58,-0.240,[Fe/H],,4.70,,
Kepler-231 b,Kepler-231,1,2,Transit,3767.00,0.48,0.51,-0.100,[Fe/H],,4.78,,
Kepler-231 c,Kepler-231,1,2,Transit,3767.00,0.48,0.51,-0.100,[Fe/H],,4.78,,
Kepler-231 c,Kepler-231,1,2,Transit,3767.00,0.48,0.51,-0.100,[Fe/H],,4.78,,
Kepler-231 c,Kepler-231,1,2,Transit,4077.00,0.56,0.58,-0.240,[Fe/H],,4.70,,
Kepler-231 c,Kepler-231,1,2,Transit,3767.00,0.49,,,,,4.78,,
Kepler-231 c,Kepler-231,1,2,Transit,4078.00,0.59,,,,,,,
Kepler-231 c,Kepler-231,1,2,Transit,3767.00,0.48,0.51,-0.100,[M/H],,,,
Kepler-231 c,Kepler-231,1,2,Transit,4079.00,0.59,0.64,,,0.087,4.70,,3.0951
Kepler-231 c,Kepler-231,1,2,Transit,4078.00,0.61,0.65,,,-1.040,,,
Kepler-231 c,Kepler-231,1,2,Transit,,0.61,0.65,,,,,,
Kepler-231 c,Kepler-231,1,2,Transit,4079.00,0.59,0.64,,,0.087,4.70,,3.0951
Kepler-231 c,Kepler-231,1,2,Transit,4147.00,0.57,0.59,-0.260,[Fe/H],,4.70,3.470,
Kepler-231 c,Kepler-231,1,2,Transit,3767.00,0.48,0.51,-0.100,[Fe/H],,4.78,,
Kepler-231 c,Kepler-231,1,2,Transit,4237.00,0.55,0.58,,,,4.72,13.800,
Kepler-232 b,Kepler-232,1,2,Transit,5841.00,0.93,1.05,0.070,[Fe/H],,4.52,,
Kepler-232 b,Kepler-232,1,2,Transit,5841.00,0.93,1.05,0.070,[Fe/H],,4.52,,
Kepler-232 b,Kepler-232,1,2,Transit,5841.00,0.93,1.05,0.070,[Fe/H],,4.52,,
Kepler-232 b,Kepler-232,1,2,Transit,5714.00,1.01,1.01,0.160,[Fe/H],,4.43,,
Kepler-232 b,Kepler-232,1,2,Transit,5847.00,0.97,,,,,4.50,,
Kepler-232 b,Kepler-232,1,2,Transit,5718.00,1.09,,,,,,,
Kepler-232 b,Kepler-232,1,2,Transit,5570.00,1.14,0.98,,,1.127,4.32,,0.6617
Kepler-232 b,Kepler-232,1,2,Transit,5654.00,0.95,0.97,0.030,[Fe/H],,4.47,4.470,
Kepler-232 b,Kepler-232,1,2,Transit,5570.00,1.14,0.98,,,1.127,4.32,,0.6617
Kepler-232 b,Kepler-232,1,2,Transit,5774.00,0.88,0.96,,,,4.54,1.400,
Kepler-232 c,Kepler-232,1,2,Transit,5714.00,1.01,1.01,0.160,[Fe/H],,4.43,,
Kepler-232 c,Kepler-232,1,2,Transit,5718.00,1.09,,,,,,,
Kepler-232 c,Kepler-232,1,2,Transit,5570.00,1.14,0.98,,,1.127,4.32,,0.6617
Kepler-232 c,Kepler-232,1,2,Transit,5654.00,0.95,0.97,0.030,[Fe/H],,4.47,4.470,
Kepler-232 c,Kepler-232,1,2,Transit,5847.00,0.97,,,,,4.50,,
Kepler-232 c,Kepler-232,1,2,Transit,5774.00,0.88,0.96,,,,4.54,1.400,
Kepler-232 c,Kepler-232,1,2,Transit,5841.00,0.93,1.05,0.070,[Fe/H],,4.52,,
Kepler-232 c,Kepler-232,1,2,Transit,5841.00,0.93,1.05,0.070,[Fe/H],,4.52,,
Kepler-232 c,Kepler-232,1,2,Transit,5841.00,0.93,1.05,0.070,[Fe/H],,4.52,,
Kepler-232 c,Kepler-232,1,2,Transit,5570.00,1.14,0.98,,,1.127,4.32,,0.6617
Kepler-233 b,Kepler-233,1,2,Transit,5354.00,0.79,0.88,-0.080,[Fe/H],,4.59,,
Kepler-233 b,Kepler-233,1,2,Transit,5354.00,0.79,0.88,-0.080,[Fe/H],,4.59,,
Kepler-233 b,Kepler-233,1,2,Transit,5360.00,0.83,,,,,,,
Kepler-233 b,Kepler-233,1,2,Transit,5360.00,0.76,,,,,4.61,,
Kepler-233 b,Kepler-233,1,2,Transit,5175.00,0.85,0.88,,,0.470,4.52,,1.4168
Kepler-233 b,Kepler-233,1,2,Transit,5261.00,0.80,0.84,-0.090,[Fe/H],,4.56,4.680,
Kepler-233 b,Kepler-233,1,2,Transit,5175.00,0.85,0.88,,,0.470,4.52,,1.4168
Kepler-233 b,Kepler-233,1,2,Transit,5331.00,0.75,0.85,,,,4.62,0.600,
Kepler-233 b,Kepler-233,1,2,Transit,5354.00,0.79,0.88,-0.080,[Fe/H],,4.59,,
Kepler-233 b,Kepler-233,1,2,Transit,5354.00,0.79,0.88,-0.080,[Fe/H],,4.59,,
Kepler-233 c,Kepler-233,1,2,Transit,5261.00,0.80,0.84,-0.090,[Fe/H],,4.56,4.680,
Kepler-233 c,Kepler-233,1,2,Transit,5354.00,0.79,0.88,-0.080,[Fe/H],,4.59,,
Kepler-233 c,Kepler-233,1,2,Transit,5354.00,0.79,0.88,-0.080,[Fe/H],,4.59,,
Kepler-233 c,Kepler-233,1,2,Transit,5354.00,0.79,0.88,-0.080,[Fe/H],,4.59,,
Kepler-233 c,Kepler-233,1,2,Transit,5331.00,0.75,0.85,,,,4.62,0.600,
Kepler-233 c,Kepler-233,1,2,Transit,5360.00,0.76,,,,,4.61,,
Kepler-233 c,Kepler-233,1,2,Transit,5360.00,0.83,,,,,,,
Kepler-233 c,Kepler-233,1,2,Transit,5175.00,0.85,0.88,,,0.470,4.52,,1.4168
Kepler-233 c,Kepler-233,1,2,Transit,5175.00,0.85,0.88,,,0.470,4.52,,1.4168
Kepler-233 c,Kepler-233,1,2,Transit,5354.00,0.79,0.88,-0.080,[Fe/H],,4.59,,
Kepler-234 b,Kepler-234,1,2,Transit,6167.00,1.06,1.15,0.070,[Fe/H],,4.44,,
Kepler-234 b,Kepler-234,1,2,Transit,5911.00,1.22,,,,,,,
Kepler-234 b,Kepler-234,1,2,Transit,6157.00,1.00,1.09,,,,4.48,0.300,
Kepler-234 b,Kepler-234,1,2,Transit,6167.00,1.06,1.15,0.070,[Fe/H],,4.44,,
Kepler-234 b,Kepler-234,1,2,Transit,6224.00,1.11,,,,,4.42,,
Kepler-234 b,Kepler-234,1,2,Transit,6167.00,1.06,1.15,0.070,[Fe/H],,4.44,,
Kepler-234 b,Kepler-234,1,2,Transit,6214.00,1.08,1.17,0.070,[Fe/H],,4.44,,
Kepler-234 b,Kepler-234,1,2,Transit,5929.00,1.25,1.08,,,1.736,4.28,,0.5547
Kepler-234 b,Kepler-234,1,2,Transit,6003.00,1.15,1.11,0.090,[Fe/H],,4.36,3.470,
Kepler-234 b,Kepler-234,1,2,Transit,5929.00,1.25,1.08,,,1.736,4.28,,0.5547
Kepler-234 c,Kepler-234,1,2,Transit,6167.00,1.06,1.15,0.070,[Fe/H],,4.44,,
Kepler-234 c,Kepler-234,1,2,Transit,6167.00,1.06,1.15,0.070,[Fe/H],,4.44,,
Kepler-234 c,Kepler-234,1,2,Transit,6167.00,1.06,1.15,0.070,[Fe/H],,4.44,,
Kepler-234 c,Kepler-234,1,2,Transit,6214.00,1.08,1.17,0.070,[Fe/H],,4.44,,
Kepler-234 c,Kepler-234,1,2,Transit,5929.00,1.25,1.08,,,1.736,4.28,,0.5547
Kepler-234 c,Kepler-234,1,2,Transit,6157.00,1.00,1.09,,,,4.48,0.300,
Kepler-234 c,Kepler-234,1,2,Transit,6224.00,1.11,,,,,4.42,,
Kepler-234 c,Kepler-234,1,2,Transit,5911.00,1.22,,,,,,,
Kepler-234 c,Kepler-234,1,2,Transit,5929.00,1.25,1.08,,,1.736,4.28,,0.5547
Kepler-234 c,Kepler-234,1,2,Transit,6003.00,1.15,1.11,0.090,[Fe/H],,4.36,3.470,
Kepler-235 b,Kepler-235,1,4,Transit,3950.00,0.49,0.50,-0.460,[Fe/H],,4.75,,
Kepler-235 b,Kepler-235,1,4,Transit,4074.00,0.64,0.64,,,0.100,4.64,,2.4907
Kepler-235 b,Kepler-235,1,4,Transit,4255.00,0.55,,,,,4.73,,
Kepler-235 b,Kepler-235,1,4,Transit,3949.00,0.61,,,,,,,
Kepler-235 b,Kepler-235,1,4,Transit,3887.00,0.48,0.51,-0.360,[Fe/H],,4.78,,
Kepler-235 b,Kepler-235,1,4,Transit,3996.00,0.49,0.51,-0.510,[Fe/H],-1.253,4.75,6.000,4.1400
Kepler-235 b,Kepler-235,1,4,Transit,3887.00,0.48,0.51,-0.360,[M/H],,,,
Kepler-235 b,Kepler-235,1,4,Transit,3887.00,0.48,0.51,-0.360,[Fe/H],,4.78,,
Kepler-235 b,Kepler-235,1,4,Transit,3887.00,0.48,0.51,-0.360,[Fe/H],,4.78,,
Kepler-235 b,Kepler-235,1,4,Transit,4243.00,0.55,0.58,,,,4.72,13.900,
Kepler-235 b,Kepler-235,1,4,Transit,4067.00,0.53,0.54,-0.420,[Fe/H],,4.73,3.800,
Kepler-235 b,Kepler-235,1,4,Transit,4000.00,0.59,0.63,,,-1.100,,,
Kepler-235 b,Kepler-235,1,4,Transit,4074.00,0.64,0.64,,,0.100,4.64,,2.4907
Kepler-235 b,Kepler-235,1,4,Transit,4074.00,0.64,0.64,,,0.100,4.64,,2.4907
Kepler-235 c,Kepler-235,1,4,Transit,4067.00,0.53,0.54,-0.420,[Fe/H],,4.73,3.800,
Kepler-235 c,Kepler-235,1,4,Transit,4243.00,0.55,0.58,,,,4.72,13.900,
Kepler-235 c,Kepler-235,1,4,Transit,3887.00,0.48,0.51,-0.360,[Fe/H],,4.78,,
Kepler-235 c,Kepler-235,1,4,Transit,3887.00,0.48,0.51,-0.360,[Fe/H],,4.78,,
Kepler-235 c,Kepler-235,1,4,Transit,3887.00,0.48,0.51,-0.360,[Fe/H],,4.78,,
Kepler-235 c,Kepler-235,1,4,Transit,3950.00,0.49,0.50,-0.460,[Fe/H],,4.75,,
Kepler-235 c,Kepler-235,1,4,Transit,4255.00,0.55,,,,,4.73,,
Kepler-235 c,Kepler-235,1,4,Transit,3949.00,0.61,,,,,,,
Kepler-235 c,Kepler-235,1,4,Transit,4074.00,0.64,0.64,,,0.100,4.64,,2.4907
Kepler-235 c,Kepler-235,1,4,Transit,4000.00,0.59,0.63,,,-1.100,,,
Kepler-235 c,Kepler-235,1,4,Transit,4074.00,0.64,0.64,,,0.100,4.64,,2.4907
Kepler-235 c,Kepler-235,1,4,Transit,3996.00,0.49,0.51,-0.510,[Fe/H],-1.253,4.75,6.000,4.1400
Kepler-235 d,Kepler-235,1,4,Transit,4255.00,0.55,,,,,4.73,,
Kepler-235 d,Kepler-235,1,4,Transit,4000.00,0.59,0.63,,,-1.100,,,
Kepler-235 d,Kepler-235,1,4,Transit,4074.00,0.64,0.64,,,0.100,4.64,,2.4907
Kepler-235 d,Kepler-235,1,4,Transit,3949.00,0.61,,,,,,,
Kepler-235 d,Kepler-235,1,4,Transit,4067.00,0.53,0.54,-0.420,[Fe/H],,4.73,3.800,
Kepler-235 d,Kepler-235,1,4,Transit,4074.00,0.64,0.64,,,0.100,4.64,,2.4907
Kepler-235 d,Kepler-235,1,4,Transit,4074.00,0.64,0.64,,,0.100,4.64,,2.4907
Kepler-235 d,Kepler-235,1,4,Transit,3887.00,0.48,0.51,-0.360,[Fe/H],,4.78,,
Kepler-235 d,Kepler-235,1,4,Transit,3887.00,0.48,0.51,-0.360,[Fe/H],,4.78,,
Kepler-235 d,Kepler-235,1,4,Transit,3950.00,0.49,0.50,-0.460,[Fe/H],,4.75,,
Kepler-235 d,Kepler-235,1,4,Transit,3887.00,0.48,0.51,-0.360,[Fe/H],,4.78,,
Kepler-235 d,Kepler-235,1,4,Transit,3996.00,0.49,0.51,-0.510,[Fe/H],-1.253,4.75,6.000,4.1400
Kepler-235 d,Kepler-235,1,4,Transit,3887.00,0.48,0.51,-0.360,[M/H],,,,
Kepler-235 d,Kepler-235,1,4,Transit,4243.00,0.55,0.58,,,,4.72,13.900,
Kepler-235 e,Kepler-235,1,4,Transit,4067.00,0.53,0.54,-0.420,[Fe/H],,4.73,3.800,
Kepler-235 e,Kepler-235,1,4,Transit,3950.00,0.49,0.50,-0.460,[Fe/H],,4.75,,
Kepler-235 e,Kepler-235,1,4,Transit,3887.00,0.48,0.51,-0.360,[M/H],,,,
Kepler-235 e,Kepler-235,1,4,Transit,3949.00,0.61,,,,,,,
Kepler-235 e,Kepler-235,1,4,Transit,4000.00,0.59,0.63,,,-1.100,,,
Kepler-235 e,Kepler-235,1,4,Transit,3887.00,0.48,0.51,-0.360,[Fe/H],,4.78,,
Kepler-235 e,Kepler-235,1,4,Transit,3887.00,0.48,0.51,-0.360,[Fe/H],,4.78,,
Kepler-235 e,Kepler-235,1,4,Transit,4074.00,0.64,0.64,,,0.100,4.64,,2.4907
Kepler-235 e,Kepler-235,1,4,Transit,4255.00,0.55,,,,,4.73,,
Kepler-235 e,Kepler-235,1,4,Transit,4074.00,0.64,0.64,,,0.100,4.64,,2.4907
Kepler-235 e,Kepler-235,1,4,Transit,4074.00,0.64,0.64,,,0.100,4.64,,2.4907
Kepler-235 e,Kepler-235,1,4,Transit,4243.00,0.55,0.58,,,,4.72,13.900,
Kepler-235 e,Kepler-235,1,4,Transit,3887.00,0.48,0.51,-0.360,[Fe/H],,4.78,,
Kepler-235 e,Kepler-235,1,4,Transit,3996.00,0.49,0.51,-0.510,[Fe/H],-1.253,4.75,6.000,4.1400
Kepler-236 b,Kepler-236,1,2,Transit,3750.00,0.51,0.54,0.080,[Fe/H],,4.75,,
Kepler-236 b,Kepler-236,1,2,Transit,3747.00,0.52,0.54,0.100,[Fe/H],,4.73,,
Kepler-236 b,Kepler-236,1,2,Transit,3758.00,0.47,0.49,-0.200,[Fe/H],,4.77,,
Kepler-236 b,Kepler-236,1,2,Transit,3750.00,0.51,,,,,4.75,,
Kepler-236 b,Kepler-236,1,2,Transit,3866.00,0.55,0.59,,,-1.200,,,
Kepler-236 b,Kepler-236,1,2,Transit,3750.00,0.51,0.54,0.080,[Fe/H],,4.75,,
Kepler-236 b,Kepler-236,1,2,Transit,3840.00,0.61,0.60,,,0.073,4.64,,2.6285
Kepler-236 b,Kepler-236,1,2,Transit,3931.00,0.56,0.58,-0.050,[Fe/H],,4.71,3.160,
Kepler-236 b,Kepler-236,1,2,Transit,4055.00,0.52,0.55,,,,4.74,13.700,
Kepler-236 b,Kepler-236,1,2,Transit,3750.00,0.51,0.54,0.080,[Fe/H],,4.75,,
Kepler-236 b,Kepler-236,1,2,Transit,3747.00,0.61,,,,,,,
Kepler-236 c,Kepler-236,1,2,Transit,3750.00,0.51,,,,,4.75,,
Kepler-236 c,Kepler-236,1,2,Transit,3747.00,0.61,,,,,,,
Kepler-236 c,Kepler-236,1,2,Transit,3750.00,0.51,0.54,0.080,[M/H],,,,
Kepler-236 c,Kepler-236,1,2,Transit,3866.00,0.55,0.59,,,-1.200,,,
Kepler-236 c,Kepler-236,1,2,Transit,3840.00,0.61,0.60,,,0.073,4.64,,2.6285
Kepler-236 c,Kepler-236,1,2,Transit,3840.00,0.61,0.60,,,0.073,4.64,,2.6285
Kepler-236 c,Kepler-236,1,2,Transit,3931.00,0.56,0.58,-0.050,[Fe/H],,4.71,3.160,
Kepler-236 c,Kepler-236,1,2,Transit,4055.00,0.52,0.55,,,,4.74,13.700,
Kepler-236 c,Kepler-236,1,2,Transit,3750.00,0.51,0.54,0.080,[Fe/H],,4.75,,
Kepler-236 c,Kepler-236,1,2,Transit,3750.00,0.51,0.54,0.080,[Fe/H],,4.75,,
Kepler-236 c,Kepler-236,1,2,Transit,3750.00,0.51,0.54,0.080,[Fe/H],,4.75,,
Kepler-236 c,Kepler-236,1,2,Transit,3758.00,0.47,0.49,-0.200,[Fe/H],,4.77,,
Kepler-236 c,Kepler-236,1,2,Transit,3747.00,0.52,0.54,0.100,[Fe/H],,4.73,,
Kepler-237 b,Kepler-237,1,2,Transit,4833.00,0.68,0.70,,,,4.62,13.800,
Kepler-237 b,Kepler-237,1,2,Transit,4861.00,0.72,,,,,4.58,,
Kepler-237 b,Kepler-237,1,2,Transit,4897.00,0.77,,,,,,,
Kepler-237 b,Kepler-237,1,2,Transit,4812.00,0.83,0.78,,,0.333,4.49,,1.3621
Kepler-237 b,Kepler-237,1,2,Transit,4952.00,0.76,0.81,0.030,[Fe/H],,4.59,4.270,
Kepler-237 b,Kepler-237,1,2,Transit,4861.00,0.73,0.73,-0.080,[Fe/H],,4.57,,
Kepler-237 b,Kepler-237,1,2,Transit,4861.00,0.73,0.73,-0.080,[Fe/H],,4.57,,
Kepler-237 b,Kepler-237,1,2,Transit,4861.00,0.73,0.73,-0.080,[Fe/H],,4.57,,
Kepler-237 b,Kepler-237,1,2,Transit,4861.00,0.73,0.73,-0.080,[Fe/H],,4.57,,
Kepler-237 c,Kepler-237,1,2,Transit,4861.00,0.73,0.73,-0.080,[Fe/H],,4.57,,
Kepler-237 c,Kepler-237,1,2,Transit,4897.00,0.77,,,,,,,
Kepler-237 c,Kepler-237,1,2,Transit,4812.00,0.83,0.78,,,0.333,4.49,,1.3621
Kepler-237 c,Kepler-237,1,2,Transit,4952.00,0.76,0.81,0.030,[Fe/H],,4.59,4.270,
Kepler-237 c,Kepler-237,1,2,Transit,4812.00,0.83,0.78,,,0.333,4.49,,1.3621
Kepler-237 c,Kepler-237,1,2,Transit,4833.00,0.68,0.70,,,,4.62,13.800,
Kepler-237 c,Kepler-237,1,2,Transit,4861.00,0.73,0.73,-0.080,[Fe/H],,4.57,,
Kepler-237 c,Kepler-237,1,2,Transit,4861.00,0.73,0.73,-0.080,[Fe/H],,4.57,,
Kepler-237 c,Kepler-237,1,2,Transit,4861.00,0.72,,,,,4.58,,
Kepler-237 c,Kepler-237,1,2,Transit,4861.00,0.73,0.73,-0.080,[Fe/H],,4.57,,
Kepler-238 b,Kepler-238,1,5,Transit,5858.00,0.96,1.06,0.100,[Fe/H],,4.50,,
Kepler-238 b,Kepler-238,1,5,Transit,5858.00,0.96,1.06,0.100,[Fe/H],,4.50,,
Kepler-238 b,Kepler-238,1,5,Transit,5779.00,0.90,0.97,,,,4.55,0.500,
Kepler-238 b,Kepler-238,1,5,Transit,5630.00,1.73,1.00,,,2.695,3.96,,0.1947
Kepler-238 b,Kepler-238,1,5,Transit,5732.00,1.26,1.06,0.230,[Fe/H],,4.26,6.760,
Kepler-238 b,Kepler-238,1,5,Transit,5739.00,1.38,1.08,0.300,[Fe/H],,4.19,,
Kepler-238 b,Kepler-238,1,5,Transit,5858.00,0.96,1.06,0.100,[Fe/H],,4.50,,
Kepler-238 b,Kepler-238,1,5,Transit,5800.00,1.63,,,,,,,
Kepler-238 b,Kepler-238,1,5,Transit,5751.00,1.43,,,,,4.19,,
Kepler-238 c,Kepler-238,1,5,Transit,5858.00,0.96,1.06,0.100,[Fe/H],,4.50,,
Kepler-238 c,Kepler-238,1,5,Transit,5858.00,0.96,1.06,0.100,[Fe/H],,4.50,,
Kepler-238 c,Kepler-238,1,5,Transit,5858.00,0.96,1.06,0.100,[Fe/H],,4.50,,
Kepler-238 c,Kepler-238,1,5,Transit,5630.00,1.73,1.00,,,2.695,3.96,,0.1947
Kepler-238 c,Kepler-238,1,5,Transit,5630.00,1.73,1.00,,,2.695,3.96,,0.1947
Kepler-238 c,Kepler-238,1,5,Transit,5800.00,1.63,,,,,,,
Kepler-238 c,Kepler-238,1,5,Transit,5751.00,1.43,,,,,4.19,,
Kepler-238 c,Kepler-238,1,5,Transit,5779.00,0.90,0.97,,,,4.55,0.500,
Kepler-238 c,Kepler-238,1,5,Transit,5732.00,1.26,1.06,0.230,[Fe/H],,4.26,6.760,
Kepler-238 c,Kepler-238,1,5,Transit,5739.00,1.38,1.08,0.300,[Fe/H],,4.19,,
Kepler-238 d,Kepler-238,1,5,Transit,5630.00,1.73,1.00,,,2.695,3.96,,0.1947
Kepler-238 d,Kepler-238,1,5,Transit,5800.00,1.63,,,,,,,
Kepler-238 d,Kepler-238,1,5,Transit,5858.00,0.96,1.06,0.100,[Fe/H],,4.50,,
Kepler-238 d,Kepler-238,1,5,Transit,5751.00,1.43,,,,,4.19,,
Kepler-238 d,Kepler-238,1,5,Transit,5739.00,1.38,1.08,0.300,[Fe/H],,4.19,,
Kepler-238 d,Kepler-238,1,5,Transit,5858.00,0.96,1.06,0.100,[Fe/H],,4.50,,
Kepler-238 d,Kepler-238,1,5,Transit,5779.00,0.90,0.97,,,,4.55,0.500,
Kepler-238 d,Kepler-238,1,5,Transit,5732.00,1.26,1.06,0.230,[Fe/H],,4.26,6.760,
Kepler-238 d,Kepler-238,1,5,Transit,5630.00,1.73,1.00,,,2.695,3.96,,0.1947
Kepler-238 d,Kepler-238,1,5,Transit,5858.00,0.96,1.06,0.100,[Fe/H],,4.50,,
Kepler-238 e,Kepler-238,1,5,Transit,,0.96,1.06,,,,4.49,,
Kepler-238 e,Kepler-238,1,5,Transit,5630.00,1.73,1.00,,,2.695,3.96,,0.1947
Kepler-238 e,Kepler-238,1,5,Transit,5630.00,1.73,1.00,,,2.695,3.96,,0.1947
Kepler-238 e,Kepler-238,1,5,Transit,5779.00,0.90,0.97,,,,4.55,0.500,
Kepler-238 e,Kepler-238,1,5,Transit,5858.00,0.96,1.06,0.100,[Fe/H],,4.50,,
Kepler-238 e,Kepler-238,1,5,Transit,5858.00,0.96,1.06,0.100,[Fe/H],,4.50,,
Kepler-238 e,Kepler-238,1,5,Transit,5858.00,0.96,1.06,0.100,[Fe/H],,4.50,,
Kepler-238 e,Kepler-238,1,5,Transit,5732.00,1.26,1.06,0.230,[Fe/H],,4.26,6.760,
Kepler-238 e,Kepler-238,1,5,Transit,5800.00,1.63,,,,,,,
